URL,Event Title,Event Date
https://www.newtown-ct.gov/parks-recreation/events/262936,"KIDS, TWEENS & TEENS KNIT & CHAT STARTS",
https://www.newtown-ct.gov/parks-recreation/events/262941,"KIDS, TWEENS & TEENS STEPPIN’ UP KNITTING CIRCLE STARTS",
https://www.newtown-ct.gov/parks-recreation/events/262946,ADULT BEGINNERS’ KNITTING CIRCLE STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262951,ADULT BEGINNERS’ KNITTING CIRCLE STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262956,ADULT KNITTING CIRCLE: INTERMEDIATE+  STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262961,ADULT KNITTING CIRCLE: INTERMEDIATE+ STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262966,ELIMINATE CLUTTER AND RESTORE CALM TO YOUR HOME STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262971,TRI MASTERS SWIMMING STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262976,User account,
https://www.newtown-ct.gov/parks-recreation/events/262981,MAD SCIENCE - SCIENCE: UNLOCKED STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262986,TRANSPORTATION ENGINEERING USING LEGO MATERIALS STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262991,FOX RIDGE FARM’S APRIL BREAK HORSEBACK RIDING CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/262996,FOX RIDGE FARM’S APRIL BREAK HORSEBACK RIDING CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263001,APRIL BREAK TENNIS CAMP STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263006,BRUSHY HILL SPRING RIDING LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263011,WOMEN’S ONLY GOLF QUEST LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263016,ADULT NOVICE GOLF QUEST LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263021,JUNIOR GOLF QUEST LESSONS START,
https://www.newtown-ct.gov/parks-recreation/events/263026,GOLF QUEST SHORT GAME SCHOOL STARTS,
https://www.newtown-ct.gov/parks-recreation/events/263071,SPRING TENNIS PROGRAM STARTS,
